table_name,field_name,language,translation
stops,stop_name,ja-Hrkt,こくぼたい
stops,stop_name,ja-Hrkt,しもおおく
stops,stop_name,ja-Hrkt,ながよこち
stops,stop_name,ja-Hrkt,みなみこう
stops,stop_name,ja-Hrkt,はちのへえ
stops,stop_name,ja-Hrkt,えびすはま
stops,stop_name,ja-Hrkt,なべくぼ
stops,stop_name,ja-Hrkt,にじゅうさ
stops,stop_name,ja-Hrkt,ひばかりが
stops,stop_name,ja-Hrkt,あけど
stops,stop_name,ja-Hrkt,さめしょう
stops,stop_name,ja-Hrkt,なかいばや
stops,stop_name,ja-Hrkt,にゅーたう
stops,stop_name,ja-Hrkt,はなおい
stops,stop_name,ja-Hrkt,ふかくぼ
stops,stop_name,ja-Hrkt,はちのへじ
stops,stop_name,ja-Hrkt,ねじょうじ
stops,stop_name,ja-Hrkt,むついちか
stops,stop_name,ja-Hrkt,かりょくは
stops,stop_name,ja-Hrkt,さめしょう
stops,stop_name,ja-Hrkt,はくさんじ
stops,stop_name,ja-Hrkt,みなとたか
stops,stop_name,ja-Hrkt,こうぎょう
stops,stop_name,ja-Hrkt,ごるふじょ
stops,stop_name,ja-Hrkt,みさきだい
stops,stop_name,ja-Hrkt,ろうさいび
stops,stop_name,ja-Hrkt,しょうぎょ
stops,stop_name,ja-Hrkt,はすぬまり
stops,stop_name,ja-Hrkt,しらはま
stops,stop_name,ja-Hrkt,あさひがお
stops,stop_name,ja-Hrkt,たんごたい
stops,stop_name,ja-Hrkt,つつみした
stops,stop_name,ja-Hrkt,いしどうひ
stops,stop_name,ja-Hrkt,にしはくさ
stops,stop_name,ja-Hrkt,いちばんち
stops,stop_name,ja-Hrkt,はしかみま
stops,stop_name,ja-Hrkt,みほのいっ
stops,stop_name,ja-Hrkt,けつえきせ
stops,stop_name,ja-Hrkt,かみかねは
stops,stop_name,ja-Hrkt,かみたもの
stops,stop_name,ja-Hrkt,みはらしだ
stops,stop_name,ja-Hrkt,かみさめ
stops,stop_name,ja-Hrkt,たものきし
stops,stop_name,ja-Hrkt,これかわち
stops,stop_name,ja-Hrkt,じゅうさん
stops,stop_name,ja-Hrkt,しろがね
stops,stop_name,ja-Hrkt,せきゆきち
stops,stop_name,ja-Hrkt,みほのさん
stops,stop_name,ja-Hrkt,ごうどうち
stops,stop_name,ja-Hrkt,さかきやま
stops,stop_name,ja-Hrkt,しろしたさ
stops,stop_name,ja-Hrkt,ねじょうさ
stops,stop_name,ja-Hrkt,みなみよこ
stops,stop_name,ja-Hrkt,しらはま
stops,stop_name,ja-Hrkt,もうろうが
stops,stop_name,ja-Hrkt,あかばね
stops,stop_name,ja-Hrkt,ひらにわ
stops,stop_name,ja-Hrkt,ふきあげな
stops,stop_name,ja-Hrkt,ふたつや
stops,stop_name,ja-Hrkt,みさきだい
stops,stop_name,ja-Hrkt,みしました
stops,stop_name,ja-Hrkt,こうせいこ
stops,stop_name,ja-Hrkt,たものき
stops,stop_name,ja-Hrkt,なかいばや
stops,stop_name,ja-Hrkt,ひばかり
stops,stop_name,ja-Hrkt,ぎょぎょう
stops,stop_name,ja-Hrkt,しもやわた
stops,stop_name,ja-Hrkt,せいれんじ
stops,stop_name,ja-Hrkt,なかつぼ
stops,stop_name,ja-Hrkt,みなみはましみんさーびすせんたー
stops,stop_name,ja-Hrkt,おうぎがう
stops,stop_name,ja-Hrkt,きたこうこ
stops,stop_name,ja-Hrkt,たんだいま
stops,stop_name,ja-Hrkt,こだまえ
stops,stop_name,ja-Hrkt,しもおおや
stops,stop_name,ja-Hrkt,にじゅうは
stops,stop_name,ja-Hrkt,おおわたり
stops,stop_name,ja-Hrkt,しおいり
stops,stop_name,ja-Hrkt,どうぶつ
stops,stop_name,ja-Hrkt,ひがしこう
stops,stop_name,ja-Hrkt,まえた
stops,stop_name,ja-Hrkt,ゆうらんせんのりばまえ
stops,stop_name,ja-Hrkt,かいひんそ
stops,stop_name,ja-Hrkt,こふなと
stops,stop_name,ja-Hrkt,しろしたと
stops,stop_name,ja-Hrkt,にしとおか
stops,stop_name,ja-Hrkt,はちのへに
stops,stop_name,ja-Hrkt,おろしせん
stops,stop_name,ja-Hrkt,たいせんい
stops,stop_name,ja-Hrkt,はすぬま
stops,stop_name,ja-Hrkt,まつみがお
stops,stop_name,ja-Hrkt,みさきちょ
stops,stop_name,ja-Hrkt,けんしんせ
stops,stop_name,ja-Hrkt,にしうるい
stops,stop_name,ja-Hrkt,まつぞのち
stops,stop_name,ja-Hrkt,しみんせん
stops,stop_name,ja-Hrkt,としょかん
stops,stop_name,ja-Hrkt,おおだてち
stops,stop_name,ja-Hrkt,ねじょうな
stops,stop_name,ja-Hrkt,みほのぐち
stops,stop_name,ja-Hrkt,おおすかかいがん
stops,stop_name,ja-Hrkt,てらさわ
stops,stop_name,ja-Hrkt,はいてくぱ
stops,stop_name,ja-Hrkt,ごうどうち
stops,stop_name,ja-Hrkt,さくらよう
stops,stop_name,ja-Hrkt,おろしせん
stops,stop_name,ja-Hrkt,しるばーび
stops,stop_name,ja-Hrkt,なかい
stops,stop_name,ja-Hrkt,せんだ
stops,stop_name,ja-Hrkt,ないみなと
stops,stop_name,ja-Hrkt,ねじょうお
stops,stop_name,ja-Hrkt,まつがおか
stops,stop_name,ja-Hrkt,かなふきざ
stops,stop_name,ja-Hrkt,かみなかみ
stops,stop_name,ja-Hrkt,ぴあどぅ
stops,stop_name,ja-Hrkt,こうだいい
stops,stop_name,ja-Hrkt,こまつたい
stops,stop_name,ja-Hrkt,すわ
stops,stop_name,ja-Hrkt,かわらぎぶ
stops,stop_name,ja-Hrkt,たかもり
stops,stop_name,ja-Hrkt,ちょうじゃ
stops,stop_name,ja-Hrkt,はちのへえ
stops,stop_name,ja-Hrkt,しろがねし
stops,stop_name,ja-Hrkt,しろがねだ
stops,stop_name,ja-Hrkt,にいだみち
stops,stop_name,ja-Hrkt,ほんはちの
stops,stop_name,ja-Hrkt,みなとほん
stops,stop_name,ja-Hrkt,みほのにく
stops,stop_name,ja-Hrkt,かみふたつ
stops,stop_name,ja-Hrkt,はいてくぱ
stops,stop_name,ja-Hrkt,ほろきなが
stops,stop_name,ja-Hrkt,さいのかみ
stops,stop_name,ja-Hrkt,あいかわ
stops,stop_name,ja-Hrkt,おおくぼと
stops,stop_name,ja-Hrkt,おおさわ
