route_id,service_id,trip_id
01004122,1_平日,01004122_1_平日_16:34:00
01004122,1_平日,01004122_1_平日_18:28:00
0211000885,1_平日,0211000885_1_平日_19:00:00
01004211,1_平日,01004211_1_平日_10:00:00
01004211,1_平日,01004211_1_平日_11:00:00
01004211,1_平日,01004211_1_平日_12:00:00
01004211,1_平日,01004211_1_平日_13:00:00
01004211,1_平日,01004211_1_平日_14:00:00
0038000854,1_平日,0038000854_1_平日_14:32:00
01004211,1_平日,01004211_1_平日_14:00:00
0038000854,1_平日,0038000854_1_平日_14:32:00
01004211,1_平日,01004211_1_平日_15:00:00
01004211,1_平日,01004211_1_平日_15:49:00
01004211,1_平日,01004211_1_平日_17:08:00
01004211,1_平日,01004211_1_平日_18:08:00
01004711,1_平日,01004711_1_平日_08:04:00
01004711,1_平日,01004711_1_平日_08:34:00
0038000854,1_平日,0038000854_1_平日_09:06:00
01004711,1_平日,01004711_1_平日_09:17:00
01007111,1_平日,01007111_1_平日_11:23:00
01007111,1_平日,01007111_1_平日_17:23:00
01007122,1_平日,01007122_1_平日_06:50:00
021106357,1_平日,021106357_1_平日_07:15:00
01008111,1_平日,01008111_1_平日_07:14:00
0008021184,1_平日,0008021184_1_平日_06:59:00
01010122,1_平日,01010122_1_平日_13:40:00
0211000885,1_平日,0211000885_1_平日_13:57:00
01010211,1_平日,01010211_1_平日_10:59:00
01011111,1_平日,01011111_1_平日_09:45:00
01011111,1_平日,01011111_1_平日_17:36:00
01011122,1_平日,01011122_1_平日_06:34:00
01011122,1_平日,01011122_1_平日_06:34:00
01011122,1_平日,01011122_1_平日_09:19:00
01011122,1_平日,01011122_1_平日_09:44:00
01011122,1_平日,01011122_1_平日_14:59:00
01011122,1_平日,01011122_1_平日_17:06:00
01011211,1_平日,01011211_1_平日_06:57:00
01011211,1_平日,01011211_1_平日_06:57:00
01011211,1_平日,01011211_1_平日_10:10:00
01011211,1_平日,01011211_1_平日_15:27:00
01201111,1_平日,01201111_1_平日_08:10:00
01201111,1_平日,01201111_1_平日_13:25:00
01201111,1_平日,01201111_1_平日_16:02:00
01201111,1_平日,01201111_1_平日_17:27:00
01201111,1_平日,01201111_1_平日_19:17:00
01201122,1_平日,01201122_1_平日_07:44:00
01201122,1_平日,01201122_1_平日_12:40:00
01201122,1_平日,01201122_1_平日_15:40:00
01201122,1_平日,01201122_1_平日_18:40:00
0635061290,1_平日,0635061290_1_平日_19:01:00
01203111,1_平日,01203111_1_平日_10:43:00
01203111,1_平日,01203111_1_平日_13:05:00
01203122,1_平日,01203122_1_平日_09:05:00
01203122,1_平日,01203122_1_平日_10:09:00
01205111,1_平日,01205111_1_平日_13:52:00
01208122,1_平日,01208122_1_平日_16:38:00
01210111,1_平日,01210111_1_平日_08:29:00
0038000854,1_平日,0038000854_1_平日_09:11:00
01210111,1_平日,01210111_1_平日_13:15:00
0612063518,1_平日,0612063518_1_平日_13:02:00
0038000854,1_平日,0038000854_1_平日_13:56:00
01210111,1_平日,01210111_1_平日_15:50:00
0008063587,1_平日,0008063587_1_平日_15:30:00
01210111,1_平日,01210111_1_平日_16:09:00
01210111,1_平日,01210111_1_平日_18:01:00
0038000854,1_平日,0038000854_1_平日_18:44:00
01210122,1_平日,01210122_1_平日_07:18:00
01210122,1_平日,01210122_1_平日_07:42:00
01211122,1_平日,01211122_1_平日_07:23:00
00080127125,1_平日,00080127125_1_平日_07:02:00
01212111,1_平日,01212111_1_平日_07:53:00
0038000854,1_平日,0038000854_1_平日_08:29:00
01213122,1_平日,01213122_1_平日_07:05:00
003804436,1_平日,003804436_1_平日_06:57:00
01401111,1_平日,01401111_1_平日_15:17:00
01401111,1_平日,01401111_1_平日_18:29:00
01401122,1_平日,01401122_1_平日_14:44:00
01401122,1_平日,01401122_1_平日_17:53:00
01403122,1_平日,01403122_1_平日_07:05:00
01403122,1_平日,01403122_1_平日_07:05:00
01403122,1_平日,01403122_1_平日_08:17:00
0635021088,1_平日,0635021088_1_平日_08:11:00
01403122,1_平日,01403122_1_平日_10:18:00
01403122,1_平日,01403122_1_平日_15:35:00
01405111,1_平日,01405111_1_平日_07:37:00
0621000858,1_平日,0621000858_1_平日_08:32:00
01405111,1_平日,01405111_1_平日_07:37:00
0621000858,1_平日,0621000858_1_平日_08:32:00
01405122,1_平日,01405122_1_平日_12:32:00
0038062110,1_平日,0038062110_1_平日_12:23:00
01406111,1_平日,01406111_1_平日_10:52:00
01406111,1_平日,01406111_1_平日_13:26:00
01406111,1_平日,01406111_1_平日_16:09:00
01408411,1_平日,01408411_1_平日_08:51:00
028000081,1_平日,028000081_1_平日_09:45:00
02401111,1_平日,02401111_1_平日_06:36:00
0552042795,1_平日,0552042795_1_平日_06:27:00
02401111,1_平日,02401111_1_平日_07:00:00
0552042795,1_平日,0552042795_1_平日_06:51:00
02402111,1_平日,02402111_1_平日_07:50:00
02402111,1_平日,02402111_1_平日_08:05:00
02402111,1_平日,02402111_1_平日_08:22:00
02402111,1_平日,02402111_1_平日_08:41:00
02402111,1_平日,02402111_1_平日_09:01:00
02402111,1_平日,02402111_1_平日_09:22:00
02402111,1_平日,02402111_1_平日_09:52:00
02402111,1_平日,02402111_1_平日_10:21:00
02402111,1_平日,02402111_1_平日_10:51:00
02402111,1_平日,02402111_1_平日_11:21:00
02402111,1_平日,02402111_1_平日_11:51:00
02402111,1_平日,02402111_1_平日_12:21:00
02402111,1_平日,02402111_1_平日_12:51:00
02402111,1_平日,02402111_1_平日_13:21:00
02402111,1_平日,02402111_1_平日_13:51:00
02402111,1_平日,02402111_1_平日_13:51:00
02402111,1_平日,02402111_1_平日_14:11:00
02402111,1_平日,02402111_1_平日_14:51:00
02402111,1_平日,02402111_1_平日_15:21:00
00080038104,1_平日,00080038104_1_平日_15:00:00
02402111,1_平日,02402111_1_平日_15:51:00
02402111,1_平日,02402111_1_平日_16:21:00
00080038104,1_平日,00080038104_1_平日_16:00:00
02402111,1_平日,02402111_1_平日_16:39:00
02402111,1_平日,02402111_1_平日_16:48:00
02402111,1_平日,02402111_1_平日_17:21:00
02402111,1_平日,02402111_1_平日_17:40:00
02402111,1_平日,02402111_1_平日_17:59:00
02402111,1_平日,02402111_1_平日_18:19:00
0612000816,1_平日,0612000816_1_平日_19:00:00
02402111,1_平日,02402111_1_平日_18:39:00
02402111,1_平日,02402111_1_平日_19:07:00
02402111,1_平日,02402111_1_平日_19:37:00
02402111,1_平日,02402111_1_平日_20:15:00
0612000816,1_平日,0612000816_1_平日_20:49:00
02402111,1_平日,02402111_1_平日_21:52:00
0612000816,1_平日,0612000816_1_平日_22:26:00
02402122,1_平日,02402122_1_平日_06:42:00
0008061215,1_平日,0008061215_1_平日_06:27:00
02402122,1_平日,02402122_1_平日_06:52:00
0008061215,1_平日,0008061215_1_平日_06:37:00
02402122,1_平日,02402122_1_平日_07:01:00
0008061215,1_平日,0008061215_1_平日_06:46:00
02402122,1_平日,02402122_1_平日_07:12:00
02402122,1_平日,02402122_1_平日_07:29:00
0008061215,1_平日,0008061215_1_平日_07:12:00
02402122,1_平日,02402122_1_平日_07:46:00
02402122,1_平日,02402122_1_平日_08:03:00
02402122,1_平日,02402122_1_平日_08:21:00
02402122,1_平日,02402122_1_平日_08:38:00
02402122,1_平日,02402122_1_平日_08:53:00
02402122,1_平日,02402122_1_平日_09:12:00
02402122,1_平日,02402122_1_平日_09:33:00
02402122,1_平日,02402122_1_平日_09:53:00
02402122,1_平日,02402122_1_平日_10:23:00
02402122,1_平日,02402122_1_平日_10:53:00
02402122,1_平日,02402122_1_平日_11:24:00
02402122,1_平日,02402122_1_平日_11:54:00
02402122,1_平日,02402122_1_平日_12:25:00
02402122,1_平日,02402122_1_平日_12:55:00
0038000854,1_平日,0038000854_1_平日_13:34:00
02402122,1_平日,02402122_1_平日_13:25:00
0038000854,1_平日,0038000854_1_平日_14:04:00
02402122,1_平日,02402122_1_平日_13:55:00
0038000854,1_平日,0038000854_1_平日_14:34:00
02402122,1_平日,02402122_1_平日_14:25:00
02402122,1_平日,02402122_1_平日_14:55:00
02402122,1_平日,02402122_1_平日_15:25:00
02402122,1_平日,02402122_1_平日_15:55:00
02402122,1_平日,02402122_1_平日_16:25:00
02402122,1_平日,02402122_1_平日_16:55:00
02402122,1_平日,02402122_1_平日_17:30:00
02402122,1_平日,02402122_1_平日_17:42:00
02402122,1_平日,02402122_1_平日_18:13:00
0038000854,1_平日,0038000854_1_平日_18:53:00
02402122,1_平日,02402122_1_平日_18:35:00
0038000854,1_平日,0038000854_1_平日_19:14:00
02402122,1_平日,02402122_1_平日_18:58:00
0038000854,1_平日,0038000854_1_平日_19:36:00
02402122,1_平日,02402122_1_平日_19:25:00
02402122,1_平日,02402122_1_平日_19:49:00
0038000854,1_平日,0038000854_1_平日_20:21:00
02402122,1_平日,02402122_1_平日_20:23:00
0038000854,1_平日,0038000854_1_平日_20:55:00
02402211,1_平日,02402211_1_平日_07:20:00
003801273,1_平日,003801273_1_平日_07:15:00
02403111,1_平日,02403111_1_平日_08:22:00
02403111,1_平日,02403111_1_平日_08:49:00
02403111,1_平日,02403111_1_平日_13:08:00
02403111,1_平日,02403111_1_平日_14:06:00
02403111,1_平日,02403111_1_平日_18:26:00
02403122,1_平日,02403122_1_平日_08:27:00
02403122,1_平日,02403122_1_平日_13:04:00
02404111,1_平日,02404111_1_平日_07:39:00
02404111,1_平日,02404111_1_平日_09:25:00
02404111,1_平日,02404111_1_平日_14:46:00
02404111,1_平日,02404111_1_平日_14:46:00
02404111,1_平日,02404111_1_平日_16:26:00
02404111,1_平日,02404111_1_平日_17:07:00
02404111,1_平日,02404111_1_平日_19:14:00
